Variable,Coef,SE_HAC,t_stat,p_value
const,-0.050084,0.06408,-0.782,0.4345
CPU_z,-0.104755,0.054871,-1.909,0.0562
ACRI_z,-0.109661,0.055415,-1.979,0.0478
delta_10y,2.850284,0.373944,7.622,0.0
VIX_z,-0.126273,0.048182,-2.621,0.0088
delta_IG_OAS,3.015608,0.48322,6.241,0.0
N,130.0,,,
R2_adj,0.5263,,,
