Variable,Coef,SE_robust,t_stat,p_value
delta_10y,3.924866,0.230793,17.006,0.0
VIX_z,0.209168,0.609861,0.343,0.7316
Climate_Event_Window,-0.175518,0.569421,-0.308,0.7579
Green_Specificity,0.059723,0.423556,0.141,0.8879
GS_x_ClimateEvt,-0.042461,0.777818,-0.055,0.9565
GS_x_VIX,-0.222175,0.821541,-0.27,0.7868
N,159.0,,,
R2_adj,0.6259,,,
