" Estimate"," Std. Error"," t value","Pr(>|t|)","Parameter"
-0.0030041033433715,0.00385245927032134,-0.779788476029994,0.43551539057866,"mu"
-0.302777850338681,0.0387782227477973,-7.8079351987806,5.77315972805081e-15,"omega"
0.121396831847721,0.14249382577416,0.851944504880684,0.394244893923297,"alpha1"
0.739188067314388,0.0582836352271188,12.6826006036502,0,"beta1"
-0.181392300482212,0.106481999541668,-1.70350201219907,0.0884741617642384,"gamma1"
0.128178066124913,0.0385570236507855,3.32437657236806,0.000886164496235686,"vxreg1"
-0.3570048563075,2.5496855774739,-0.140019169211132,0.888644844748055,"vxreg2"
-0.0111858140505172,0.0229167284171791,-0.488106934239878,0.625474099693231,"vxreg3"
2.44941010189996,1.00367132893354,2.4404504057146,0.0146689599548049,"vxreg4"
-0.0270009990652048,0.0173121458431063,-1.55965640018893,0.118841100602003,"vxreg5"
2.10000000002366,0.0307021381788374,68.3991449648013,0,"shape"
