lag,AIC,BIC,HQIC,LogL
1,-29.525671293021375,-29.30674474633898,-29.444877373331583,6243.0912319998115
2,-29.589666607240254,-29.175951557699605,-29.436982552591637,6361.531668672802
3,-29.6335184846678,-29.0248385410494,-29.408875181292476,6461.70851489061
4,-29.697487396406856,-28.893665907054746,-29.400815625575213,6580.007191214283
5,-29.72862883149499,-28.729488883787752,-29.35985926929872,6668.615100948757
6,-29.755743083352716,-28.561107503173087,-29.31480630048728,6753.559349974312
7,-29.797939397725365,-28.40763074892852,-29.284765859271904,6852.072964105217
8,-29.786804608249856,-28.200645192130263,-29.201324673456494,6902.493057354557
