Variable,Coef,SE,t_stat,p_value
const,0.340819,0.536841,0.635,0.5255
CPU_z,-2.044401,0.574432,-3.559,0.0004
ACRI_z,1.042895,0.562893,1.853,0.0639
r_KRBN,-0.02482,0.008236,-3.014,0.0026
delta_10y,2.578783,0.34503,7.474,0.0
VIX_z,0.219822,0.443658,0.495,0.6203
N,11.0,,,
R2_adj,0.7816,,,
