lag,AIC,BIC,HQIC,LogL
1,-18.01656981485768,-17.907537857979634,-17.976721939616912,1126.7755820843631
2,-18.1386073242436,-17.93604325829958,-18.06457458627713,1296.0340386631324
3,-18.23335210114889,-17.93718554673817,-18.125107195527306,1435.2712692999794
4,-18.437822755611062,-18.04798324719938,-18.295338343020372,1694.563591084714
5,-18.493101896227277,-18.009518882001945,-18.31635060291001,1790.361330310583
6,-18.52054908924874,-17.943151930973468,-18.30950350694494,1855.655639727178
7,-18.621700137469542,-17.95041811033895,-18.37633282335763,2001.5176676112314
8,-18.64169557598396,-17.87645786847777,-18.36197905262145,2058.5754630379815
